country,population,land_area,link
 Malaysia ," 36,385,115 "," 328,550 ",https://www.worldometers.info/world-population/malaysia-population/
 Ghana ," 35,697,557 "," 227,540 ",https://www.worldometers.info/world-population/ghana-population/
 Saudi Arabia ," 35,165,787 "," 2,149,690 ",https://www.worldometers.info/world-population/saudi-arabia-population/
 Peru ," 34,922,148 "," 1,280,000 ",https://www.worldometers.info/world-population/peru-population/
 Madagascar ," 33,522,052 "," 581,795 ",https://www.worldometers.info/world-population/madagascar-population/
 Côte d'Ivoire ," 33,494,346 "," 318,000 ",https://www.worldometers.info/world-population/cote-d-ivoire-population/
 Cameroon ," 30,640,817 "," 472,710 ",https://www.worldometers.info/world-population/cameroon-population/
 Nepal ," 29,629,410 "," 143,350 ",https://www.worldometers.info/world-population/nepal-population/
 Niger ," 28,814,878 "," 1,266,700 ",https://www.worldometers.info/world-population/niger-population/
 Venezuela ," 28,633,711 "," 882,050 ",https://www.worldometers.info/world-population/venezuela-population/
 Australia ," 27,227,096 "," 7,682,300 ",https://www.worldometers.info/world-population/australia-population/
 North Korea ," 26,633,691 "," 120,410 ",https://www.worldometers.info/world-population/north-korea-population/
 Syria ," 26,472,497 "," 183,630 ",https://www.worldometers.info/world-population/syria-population/
 Mali ," 25,932,275 "," 1,220,190 ",https://www.worldometers.info/world-population/mali-population/
 Burkina Faso ," 24,601,700 "," 273,600 ",https://www.worldometers.info/world-population/burkina-faso-population/
 Sri Lanka ," 23,348,315 "," 62,710 ",https://www.worldometers.info/world-population/sri-lanka-population/
 Taiwan ," 23,011,292 "," 35,410 ",https://www.worldometers.info/world-population/taiwan-population/
 Malawi ," 22,785,535 "," 94,280 ",https://www.worldometers.info/world-population/malawi-population/
 Zambia ," 22,521,915 "," 743,390 ",https://www.worldometers.info/world-population/zambia-population/
 Chad ," 21,560,380 "," 1,259,200 ",https://www.worldometers.info/world-population/chad-population/
 Kazakhstan ," 21,083,626 "," 2,699,700 ",https://www.worldometers.info/world-population/kazakhstan-population/
 Somalia ," 20,305,907 "," 627,340 ",https://www.worldometers.info/world-population/somalia-population/
 Chile ," 19,945,850 "," 743,532 ",https://www.worldometers.info/world-population/chile-population/
 Senegal ," 19,366,548 "," 192,530 ",https://www.worldometers.info/world-population/senegal-population/
 Guatemala ," 18,967,978 "," 107,160 ",https://www.worldometers.info/world-population/guatemala-population/
 Romania ," 18,800,605 "," 230,170 ",https://www.worldometers.info/world-population/romania-population/
 Netherlands ," 18,448,775 "," 33,720 ",https://www.worldometers.info/world-population/netherlands-population/
 Ecuador ," 18,444,506 "," 248,360 ",https://www.worldometers.info/world-population/ecuador-population/
 Cambodia ," 18,051,219 "," 176,520 ",https://www.worldometers.info/world-population/cambodia-population/
 Zimbabwe ," 17,273,580 "," 386,850 ",https://www.worldometers.info/world-population/zimbabwe-population/
 Guinea ," 15,441,993 "," 245,720 ",https://www.worldometers.info/world-population/guinea-population/
 Benin ," 15,170,419 "," 112,760 ",https://www.worldometers.info/world-population/benin-population/
 Rwanda ," 14,889,693 "," 24,670 ",https://www.worldometers.info/world-population/rwanda-population/
 Burundi ," 14,729,157 "," 25,680 ",https://www.worldometers.info/world-population/burundi-population/
 Bolivia ," 12,749,291 "," 1,083,300 ",https://www.worldometers.info/world-population/bolivia-population/
 South Sudan ," 12,436,037 "," 610,952 ",https://www.worldometers.info/world-population/south-sudan-population/
 Tunisia ," 12,415,138 "," 155,360 ",https://www.worldometers.info/world-population/tunisia-population/
 Haiti ," 12,037,506 "," 27,560 ",https://www.worldometers.info/world-population/haiti-population/
 Belgium ," 11,774,642 "," 30,280 ",https://www.worldometers.info/world-population/belgium-population/
 Dominican Republic ," 11,609,500 "," 48,320 ",https://www.worldometers.info/world-population/dominican-republic-population/
 Jordan ," 11,589,532 "," 88,780 ",https://www.worldometers.info/world-population/jordan-population/
 United Arab Emirates ," 11,574,682 "," 83,600 ",https://www.worldometers.info/world-population/united-arab-emirates-population/
 Honduras ," 11,184,760 "," 111,890 ",https://www.worldometers.info/world-population/honduras-population/
 Tajikistan ," 10,978,599 "," 139,960 ",https://www.worldometers.info/world-population/tajikistan-population/
 Papua New Guinea ," 10,947,848 "," 452,860 ",https://www.worldometers.info/world-population/papua-new-guinea-population/
 Cuba ," 10,892,659 "," 106,440 ",https://www.worldometers.info/world-population/cuba-population/
 Sweden ," 10,701,047 "," 410,340 ",https://www.worldometers.info/world-population/sweden-population/
 Czech Republic (Czechia) ," 10,527,781 "," 77,240 ",https://www.worldometers.info/world-population/czechia-population/
 Azerbaijan ," 10,454,855 "," 82,658 ",https://www.worldometers.info/world-population/azerbaijan-population/
 Portugal ," 10,395,362 "," 91,590 ",https://www.worldometers.info/world-population/portugal-population/
 Togo ," 9,930,918 "," 54,390 ",https://www.worldometers.info/world-population/togo-population/
 Greece ," 9,897,115 "," 128,900 ",https://www.worldometers.info/world-population/greece-population/
 Israel ," 9,647,689 "," 21,640 ",https://www.worldometers.info/world-population/israel-population/
 Hungary ," 9,585,818 "," 90,530 ",https://www.worldometers.info/world-population/hungary-population/
 Austria ," 9,107,266 "," 82,409 ",https://www.worldometers.info/world-population/austria-population/
 Switzerland ," 9,007,798 "," 39,516 ",https://www.worldometers.info/world-population/switzerland-population/
 Sierra Leone ," 8,996,745 "," 72,180 ",https://www.worldometers.info/world-population/sierra-leone-population/
 Belarus ," 8,937,018 "," 202,910 ",https://www.worldometers.info/world-population/belarus-population/
 Laos ," 7,974,017 "," 230,800 ",https://www.worldometers.info/world-population/laos-population/
 Turkmenistan ," 7,736,632 "," 469,930 ",https://www.worldometers.info/world-population/turkmenistan-population/
 Libya ," 7,539,851 "," 1,759,540 ",https://www.worldometers.info/world-population/libya-population/
 Kyrgyzstan ," 7,400,465 "," 191,800 ",https://www.worldometers.info/world-population/kyrgyzstan-population/
 Hong Kong ," 7,378,602 "," 1,050 ",https://www.worldometers.info/world-population/china-hong-kong-sar-population/
 Nicaragua ," 7,097,329 "," 120,340 ",https://www.worldometers.info/world-population/nicaragua-population/
 Paraguay ," 7,095,279 "," 397,300 ",https://www.worldometers.info/world-population/paraguay-population/
 Bulgaria ," 6,667,659 "," 108,560 ",https://www.worldometers.info/world-population/bulgaria-population/
 Serbia ," 6,641,964 "," 87,460 ",https://www.worldometers.info/world-population/serbia-population/
 Congo ," 6,637,785 "," 341,500 ",https://www.worldometers.info/world-population/congo-population/
 El Salvador ," 6,391,253 "," 20,720 ",https://www.worldometers.info/world-population/el-salvador-population/
 Denmark ," 6,023,520 "," 42,430 ",https://www.worldometers.info/world-population/denmark-population/
 Singapore ," 5,905,748 ", 700 ,https://www.worldometers.info/world-population/singapore-population/
 Lebanon ," 5,897,467 "," 10,230 ",https://www.worldometers.info/world-population/lebanon-population/
 Liberia ," 5,853,949 "," 96,320 ",https://www.worldometers.info/world-population/liberia-population/
 Central African Republic ," 5,698,984 "," 622,980 ",https://www.worldometers.info/world-population/central-african-republic-population/
 State of Palestine ," 5,692,790 "," 6,020 ",https://www.worldometers.info/world-population/state-of-palestine-population/
 Oman ," 5,671,458 "," 309,500 ",https://www.worldometers.info/world-population/oman-population/
 Norway ," 5,652,989 "," 365,268 ",https://www.worldometers.info/world-population/norway-population/
 Finland ," 5,621,739 "," 303,890 ",https://www.worldometers.info/world-population/finland-population/
 Mauritania ," 5,461,319 "," 1,030,700 ",https://www.worldometers.info/world-population/mauritania-population/
 Slovakia ," 5,451,342 "," 48,088 ",https://www.worldometers.info/world-population/slovakia-population/
 Ireland ," 5,356,950 "," 68,890 ",https://www.worldometers.info/world-population/ireland-population/
 New Zealand ," 5,287,479 "," 263,310 ",https://www.worldometers.info/world-population/new-zealand-population/
 Costa Rica ," 5,174,789 "," 51,060 ",https://www.worldometers.info/world-population/costa-rica-population/
 Kuwait ," 5,102,773 "," 17,820 ",https://www.worldometers.info/world-population/kuwait-population/
 Panama ," 4,625,718 "," 74,340 ",https://www.worldometers.info/world-population/panama-population/
 Croatia ," 3,822,345 "," 55,960 ",https://www.worldometers.info/world-population/croatia-population/
 Georgia ," 3,804,642 "," 69,490 ",https://www.worldometers.info/world-population/georgia-population/
 Eritrea ," 3,682,669 "," 101,000 ",https://www.worldometers.info/world-population/eritrea-population/
 Mongolia ," 3,556,798 "," 1,553,560 ",https://www.worldometers.info/world-population/mongolia-population/
 Uruguay ," 3,382,537 "," 175,020 ",https://www.worldometers.info/world-population/uruguay-population/
 Puerto Rico ," 3,222,688 "," 8,870 ",https://www.worldometers.info/world-population/puerto-rico-population/
 Qatar ," 3,173,559 "," 11,610 ",https://www.worldometers.info/world-population/qatar-population/
 Namibia ," 3,153,246 "," 823,290 ",https://www.worldometers.info/world-population/namibia-population/
 Bosnia and Herzegovina ," 3,114,242 "," 51,000 ",https://www.worldometers.info/world-population/bosnia-and-herzegovina-population/
 Moldova ," 2,961,253 "," 32,850 ",https://www.worldometers.info/world-population/moldova-population/
 Armenia ," 2,930,915 "," 28,470 ",https://www.worldometers.info/world-population/armenia-population/
 Gambia ," 2,884,079 "," 10,120 ",https://www.worldometers.info/world-population/gambia-population/
 Jamaica ," 2,833,403 "," 10,830 ",https://www.worldometers.info/world-population/jamaica-population/
 Lithuania ," 2,797,338 "," 62,674 ",https://www.worldometers.info/world-population/lithuania-population/
 Albania ," 2,751,025 "," 27,400 ",https://www.worldometers.info/world-population/albania-population/
 Gabon ," 2,647,399 "," 257,670 ",https://www.worldometers.info/world-population/gabon-population/
 Botswana ," 2,603,388 "," 566,730 ",https://www.worldometers.info/world-population/botswana-population/
 Lesotho ," 2,389,336 "," 30,360 ",https://www.worldometers.info/world-population/lesotho-population/
 Guinea-Bissau ," 2,297,808 "," 28,120 ",https://www.worldometers.info/world-population/guinea-bissau-population/
 Slovenia ," 2,114,573 "," 20,140 ",https://www.worldometers.info/world-population/slovenia-population/
 Equatorial Guinea ," 1,984,468 "," 28,050 ",https://www.worldometers.info/world-population/equatorial-guinea-population/
 Latvia ," 1,835,935 "," 62,200 ",https://www.worldometers.info/world-population/latvia-population/
 North Macedonia ," 1,804,063 "," 25,220 ",https://www.worldometers.info/world-population/north-macedonia-population/
 Bahrain ," 1,675,572 ", 760 ,https://www.worldometers.info/world-population/bahrain-population/
 Trinidad and Tobago ," 1,513,268 "," 5,130 ",https://www.worldometers.info/world-population/trinidad-and-tobago-population/
 Timor-Leste ," 1,436,923 "," 14,870 ",https://www.worldometers.info/world-population/timor-leste-population/
 Cyprus ," 1,382,334 "," 9,240 ",https://www.worldometers.info/world-population/cyprus-population/
 Estonia ," 1,331,062 "," 42,390 ",https://www.worldometers.info/world-population/estonia-population/
 Eswatini ," 1,269,859 "," 17,200 ",https://www.worldometers.info/world-population/swaziland-population/
 Mauritius ," 1,265,059 "," 2,030 ",https://www.worldometers.info/world-population/mauritius-population/
 Djibouti ," 1,199,459 "," 23,180 ",https://www.worldometers.info/world-population/djibouti-population/
 Fiji ," 937,282 "," 18,270 ",https://www.worldometers.info/world-population/fiji-population/
 Comoros ," 899,010 "," 1,861 ",https://www.worldometers.info/world-population/comoros-population/
 Réunion ," 886,298 "," 2,500 ",https://www.worldometers.info/world-population/reunion-population/
 Solomon Islands ," 858,288 "," 27,990 ",https://www.worldometers.info/world-population/solomon-islands-population/
 Guyana ," 840,890 "," 196,850 ",https://www.worldometers.info/world-population/guyana-population/
 Bhutan ," 802,214 "," 38,117 ",https://www.worldometers.info/world-population/bhutan-population/
 Macao ," 723,188 ", 30 ,https://www.worldometers.info/world-population/china-macao-sar-population/
 Luxembourg ," 687,448 "," 2,590 ",https://www.worldometers.info/world-population/luxembourg-population/
 Suriname ," 645,256 "," 156,000 ",https://www.worldometers.info/world-population/suriname-population/
 Montenegro ," 626,233 "," 13,450 ",https://www.worldometers.info/world-population/montenegro-population/
 Western Sahara ," 610,813 "," 266,000 ",https://www.worldometers.info/world-population/western-sahara-population/
 Malta ," 549,011 ", 320 ,https://www.worldometers.info/world-population/malta-population/
 Maldives ," 531,517 ", 300 ,https://www.worldometers.info/world-population/maldives-population/
 Cabo Verde ," 529,630 "," 4,030 ",https://www.worldometers.info/world-population/cabo-verde-population/
 Brunei  ," 469,775 "," 5,270 ",https://www.worldometers.info/world-population/brunei-darussalam-population/
 Belize ," 428,644 "," 22,810 ",https://www.worldometers.info/world-population/belize-population/
 Bahamas ," 404,628 "," 10,010 ",https://www.worldometers.info/world-population/bahamas-population/
 Iceland ," 402,329 "," 100,250 ",https://www.worldometers.info/world-population/iceland-population/
 Guadeloupe ," 372,453 "," 1,690 ",https://www.worldometers.info/world-population/guadeloupe-population/
 Mayotte ," 347,536 ", 375 ,https://www.worldometers.info/world-population/mayotte-population/
 Vanuatu ," 342,564 "," 12,190 ",https://www.worldometers.info/world-population/vanuatu-population/
 Martinique ," 337,711 "," 1,060 ",https://www.worldometers.info/world-population/martinique-population/
 French Guiana ," 318,872 "," 82,200 ",https://www.worldometers.info/world-population/french-guiana-population/
 New Caledonia ," 297,892 "," 18,280 ",https://www.worldometers.info/world-population/new-caledonia-population/
 French Polynesia ," 283,076 "," 3,660 ",https://www.worldometers.info/world-population/french-polynesia-population/
 Barbados ," 282,724 ", 430 ,https://www.worldometers.info/world-population/barbados-population/
 Sao Tome & Principe ," 244,994 ", 960 ,https://www.worldometers.info/world-population/sao-tome-and-principe-population/
 Samoa ," 220,528 "," 2,830 ",https://www.worldometers.info/world-population/samoa-population/
 Curaçao ," 185,440 ", 444 ,https://www.worldometers.info/world-population/curacao-population/
 Saint Lucia ," 180,488 ", 610 ,https://www.worldometers.info/world-population/saint-lucia-population/
 Guam ," 170,185 ", 540 ,https://www.worldometers.info/world-population/guam-population/
 Kiribati ," 138,445 ", 810 ,https://www.worldometers.info/world-population/kiribati-population/
 Seychelles ," 134,959 ", 460 ,https://www.worldometers.info/world-population/seychelles-population/
 Grenada ," 117,362 ", 340 ,https://www.worldometers.info/world-population/grenada-population/
 Micronesia ," 114,183 ", 700 ,https://www.worldometers.info/world-population/micronesia-population/
 Aruba ," 108,164 ", 180 ,https://www.worldometers.info/world-population/aruba-population/
 Tonga ," 103,291 ", 720 ,https://www.worldometers.info/world-population/tonga-population/
 St. Vincent & Grenadines ," 99,245 ", 390 ,https://www.worldometers.info/world-population/saint-vincent-and-the-grenadines-population/
 Antigua and Barbuda ," 94,626 ", 440 ,https://www.worldometers.info/world-population/antigua-and-barbuda-population/
 Isle of Man ," 84,055 ", 570 ,https://www.worldometers.info/world-population/isle-of-man-population/
 Andorra ," 83,753 ", 470 ,https://www.worldometers.info/world-population/andorra-population/
 U.S. Virgin Islands ," 83,400 ", 350 ,https://www.worldometers.info/world-population/united-states-virgin-islands-population/
 Cayman Islands ," 77,196 ", 240 ,https://www.worldometers.info/world-population/cayman-islands-population/
 Dominica ," 65,511 ", 750 ,https://www.worldometers.info/world-population/dominica-population/
 Bermuda ," 64,459 ", 50 ,https://www.worldometers.info/world-population/bermuda-population/
 Faeroe Islands ," 56,526 "," 1,396 ",https://www.worldometers.info/world-population/faeroe-islands-population/
 Greenland ," 55,629 "," 410,450 ",https://www.worldometers.info/world-population/greenland-population/
 Turks and Caicos ," 47,148 ", 950 ,https://www.worldometers.info/world-population/turks-and-caicos-islands-population/
 Saint Kitts & Nevis ," 46,992 ", 260 ,https://www.worldometers.info/world-population/saint-kitts-and-nevis-population/
 American Samoa ," 45,319 ", 200 ,https://www.worldometers.info/world-population/american-samoa-population/
 Sint Maarten ," 44,447 ", 34 ,https://www.worldometers.info/world-population/sint-maarten-population/
 Northern Mariana Islands ," 42,914 ", 460 ,https://www.worldometers.info/world-population/northern-mariana-islands-population/
 Gibraltar ," 40,867 ", 10 ,https://www.worldometers.info/world-population/gibraltar-population/
 Liechtenstein ," 40,368 ", 160 ,https://www.worldometers.info/world-population/liechtenstein-population/
 British Virgin Islands ," 39,936 ", 150 ,https://www.worldometers.info/world-population/british-virgin-islands-population/
 Monaco ," 38,087 ", 1 ,https://www.worldometers.info/world-population/monaco-population/
 Marshall Islands ," 35,075 ", 180 ,https://www.worldometers.info/world-population/marshall-islands-population/
 San Marino ," 33,605 ", 60 ,https://www.worldometers.info/world-population/san-marino-population/
 Caribbean Netherlands ," 31,913 ", 328 ,https://www.worldometers.info/world-population/caribbean-netherlands-population/
 Palau ," 17,614 ", 460 ,https://www.worldometers.info/world-population/palau-population/
 Anguilla ," 14,817 ", 90 ,https://www.worldometers.info/world-population/anguilla-population/
 Cook Islands ," 12,826 ", 240 ,https://www.worldometers.info/world-population/cook-islands-population/
 Nauru ," 12,101 ", 20 ,https://www.worldometers.info/world-population/nauru-population/
 Saint Barthelemy ," 11,550 ", 21 ,https://www.worldometers.info/world-population/saint-barthelemy-population/
 Wallis & Futuna ," 11,113 ", 140 ,https://www.worldometers.info/world-population/wallis-and-futuna-islands-population/
 Tuvalu ," 9,362 ", 30 ,https://www.worldometers.info/world-population/tuvalu-population/
 Saint Pierre & Miquelon ," 5,513 ", 230 ,https://www.worldometers.info/world-population/saint-pierre-and-miquelon-population/
 Saint Helena ," 5,147 ", 390 ,https://www.worldometers.info/world-population/saint-helena-population/
 Montserrat ," 4,328 ", 100 ,https://www.worldometers.info/world-population/montserrat-population/
 Falkland Islands ," 3,465 "," 12,170 ",https://www.worldometers.info/world-population/falkland-islands-malvinas-population/
 Tokelau ," 2,691 ", 10 ,https://www.worldometers.info/world-population/tokelau-population/
 Niue ," 1,822 ", 260 ,https://www.worldometers.info/world-population/niue-population/
 Holy See , 506 , 0 ,https://www.worldometers.info/world-population/holy-see-population/
